hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 218.157, -0.334523, 218.056, -120.299, 218.336, 119.672, 0, 0, 26.1934, -23.4084, 26.2055, -143.373, 26.172, 96.5978, 0.0418997, 89.4477
2, 0.00000, 218.5, -0.242062, 218.426, -120.216, 218.628, 119.762, 0, 0, 18.9513, -23.3169, 18.9576, -143.291, 18.9399, 96.6877, 0.0220375, 89.3726
3, 0.00000, 218.608, -0.212908, 218.543, -120.19, 218.721, 119.791, 0, 0, 16.6687, -23.2871, 16.6737, -143.264, 16.6601, 96.7168, 0.0169762, 89.5604
4, 0.00000, 218.662, -0.198344, 218.601, -120.177, 218.767, 119.805, 0, 0, 15.5283, -23.2724, 15.5326, -143.251, 15.5209, 96.7312, 0.0147154, 89.6215
5, 0.00000, 218.41, -0.266349, 218.329, -120.238, 218.552, 119.739, 0, 0, 20.8544, -23.3396, 20.8621, -143.311, 20.8411, 96.6651, 0.0264382, 89.6959
6, 0.00000, 217.866, -0.412582, 217.743, -120.369, 218.089, 119.595, 0, 0, 32.309, -23.4851, 32.3274, -143.441, 32.2768, 96.5225, 0.0634566, 89.4938
7, 0.00000, 217.821, -0.332629, 217.728, -120.289, 218.028, 119.668, 0, 0, 38.0198, -23.4062, 38.0361, -143.363, 37.9836, 96.5947, 0.0691433, 96.3176
8, 0.00000, 218.404, -0.0819748, 218.393, -120.056, 218.503, 119.909, 0, 0, 30.3348, -23.1569, 30.3366, -143.132, 30.3206, 96.8338, 0.0282714, 117.327
9, 0.00000, 218.434, 0.00943947, 218.457, -119.968, 218.511, 119.994, 0, 0, 33.7421, -23.0646, 33.7388, -143.042, 33.7304, 96.9198, 0.0287209, 137.91
10, 0.00000, 218.78, 0.27963, 218.905, -119.712, 218.774, 120.25, 0, 0, 34.4466, -22.7944, 34.427, -142.786, 34.4475, 97.1764, 0.0374718, -162.597
11, 0.00000, 219.116, 0.637309, 219.387, -119.375, 219.021, 120.59, 0, 0, 38.5513, -22.4369, 38.5037, -142.449, 38.5679, 97.5159, 0.0836265, -137.968
12, 0.00000, 219.239, 0.747052, 219.557, -119.272, 219.118, 120.695, 0, 0, 38.9074, -22.327, 38.8511, -142.346, 38.9289, 97.6209, 0.0986745, -134.195
