hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 218.157, -0.334523, 218.056, -120.299, 218.336, 119.672, 3.21555E-013, 45, 4.54747E-013, 90, 4.54747E-013, 90
2, 0.00000, 218.5, -0.242062, 218.426, -120.216, 218.628, 119.762, 6.62902E-013, 120.964, 3.21555E-013, 45, 4.54747E-013, 180
3, 0.00000, 218.608, -0.212908, 218.543, -120.19, 218.721, 119.791, 1.60777E-013, 45, 4.68743E-013, 104.036, 6.4311E-013, -135
4, 0.00000, 218.662, -0.198344, 218.601, -120.177, 218.767, 119.805, 4.54747E-013, 90, 0, 0, 0, 0
5, 0.00000, 218.41, -0.26635, 218.329, -120.238, 218.552, 119.739, 3.21555E-013, -45, 8.27653E-013, 164.055, 1.01685E-012, 116.565
6, 0.00000, 217.866, -0.412582, 217.743, -120.369, 218.089, 119.595, 4.82332E-013, -45, 4.09904E-013, 146.31, 4.54747E-013, -90
7, 0.00000, 217.987, -0.217222, 217.933, -120.18, 218.153, 119.777, 9.22919, -0.216949, 9.23153, -120.18, 9.22218, 119.777
8, 0.00000, 218.734, 0.147761, 218.802, -119.839, 218.754, 120.126, 18.4213, 0.146977, 18.416, -119.84, 18.4196, 120.125
9, 0.00000, 218.907, 0.340431, 219.045, -119.655, 218.872, 120.307, 26.5388, 0.340137, 26.5224, -119.655, 26.5434, 120.307
10, 0.00000, 219.544, 0.818943, 219.862, -119.205, 219.363, 120.762, 43.2986, 0.818754, 43.2359, -119.205, 43.3342, 120.762
11, 0.00000, 220.296, 1.48123, 220.882, -118.585, 219.943, 121.393, 67.8286, 1.48046, 67.6487, -118.585, 67.9371, 121.393
12, 0.00000, 220.533, 1.67537, 221.201, -118.404, 220.132, 121.579, 74.6464, 1.67509, 74.421, -118.404, 74.7821, 121.579
13, 0.00000, 220.564, 1.77272, 221.276, -118.312, 220.149, 121.671, 79.2923, 1.7719, 79.0389, -118.312, 79.4443, 121.67
14, 0.00000, 220.788, 1.83262, 221.522, -118.26, 220.344, 121.731, 79.2147, 1.83376, 78.9537, -118.259, 79.3751, 121.731
15, 0.00000, 220.894, 1.88106, 221.649, -118.216, 220.435, 121.779, 80.221, 1.88137, 79.949, -118.215, 80.3892, 121.778
16, 0.00000, 220.809, 1.81361, 221.535, -118.278, 220.366, 121.714, 77.9102, 1.81371, 77.6538, -118.279, 78.0656, 121.714
17, 0.00000, 220.073, 1.30936, 220.588, -118.744, 219.765, 121.229, 61.9367, 1.30981, 61.7919, -118.744, 62.0235, 121.229
18, 0.00000, 217.889, -0.0850465, 217.886, -120.048, 218.034, 119.898, 18.1225, -0.0849705, 18.1228, -120.048, 18.1105, 119.898
19, 0.00000, 219.337, 1.17365, 219.807, -118.859, 219.117, 121.089, 65.3746, 1.17294, 65.2382, -118.858, 65.4326, 121.089
20, 0.00000, 219.308, 1.22326, 219.803, -118.811, 219.086, 121.136, 68.3955, 1.22325, 68.2433, -118.811, 68.4674, 121.136
21, 0.00000, 219.14, 1.23648, 219.644, -118.795, 218.932, 121.145, 71.4901, 1.23674, 71.3267, -118.795, 71.5592, 121.145
22, 0.00000, 219.75, 1.48412, 220.35, -118.57, 219.448, 121.388, 75.8357, 1.48345, 75.6389, -118.571, 75.9507, 121.387
23, 0.00000, 217.059, -0.628376, 216.877, -120.563, 217.406, 119.385, 4.68743E-013, -75.9638, 1.14254E-012, 95.7106, 0, 0
24, 0.00000, 217.793, -0.432253, 217.665, -120.387, 218.027, 119.576, 1.13687E-012, 90, 6.4311E-013, 45, 4.54747E-013, 180
25, 0.00000, 218.157, -0.33456, 218.056, -120.299, 218.336, 119.672, 5.79691E-013, 101.31, 1.52527E-012, 26.5651, 6.4311E-013, 135
26, 0.00000, 218.5, -0.242077, 218.426, -120.216, 218.629, 119.762, 9.77971E-013, 125.538, 5.08423E-013, 26.5651, 6.4311E-013, 45
27, 0.00000, 215.062, -2.46112, 214.353, -122.354, 216.156, 117.691, 77.5079, 177.539, 77.7522, 57.6456, 77.0989, -62.3087
28, 0.00000, 215.121, -2.44486, 214.411, -122.34, 216.204, 117.705, 77.4778, 177.555, 77.7337, 57.6599, 77.0882, -62.2946
29, 0.00000, 214.853, -2.5169, 214.127, -122.406, 215.983, 117.636, 77.5616, 177.483, 77.8268, 57.5938, 77.1638, -62.3638
