hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 4.93127E-014, -4.98919E-014, -8.56156E-014, 5.00278E-014, 8.62687E-014, 4.91505E-014
2, 0.00000, -7.50458E-014, -1.23887E-013, -6.79109E-014, -1.79223E-014, 4.93528E-014, -8.63063E-014
3, 0.00000, 2.47603E-014, -2.4945E-014, -7.34078E-014, 7.14517E-014, -3.69014E-014, -1.35735E-013
4, 0.00000, -3.44222E-016, -9.94353E-014, 0, 0, 0, 0
5, 0.00000, 4.9891E-014, 4.94293E-014, 4.46101E-014, 1.75108E-013, 2.21893E-013, 1.23026E-014
6, 0.00000, 7.48388E-014, 7.37686E-014, -5.17042E-015, 8.9104E-014, -8.62365E-014, -4.89799E-014
7, 0.00000, 2.01185, -9.58825E-006, 2.01186, -1.8582E-006, 2.01185, -4.34447E-006
8, 0.00000, 4.02937, 5.51211E-005, 4.02945, 8.64098E-005, 4.02937, 8.56099E-005
9, 0.00000, 5.80952, 2.9824E-005, 5.8096, 7.66231E-006, 5.80961, 5.52002E-005
10, 0.00000, 9.50595, 3.14187E-005, 9.50595, 2.15938E-005, 9.50594, 2.03236E-005
11, 0.00000, 14.9423, 0.000200535, 14.9424, 0.000126923, 14.9423, 0.000123638
12, 0.00000, 16.462, 7.96654E-005, 16.462, 4.90075E-005, 16.4619, 5.05071E-005
13, 0.00000, 17.489, 0.000250027, 17.4894, -1.34084E-005, 17.4896, 0.000336154
14, 0.00000, 17.4896, -0.000347326, 17.49, -0.000309566, 17.4898, -3.64667E-005
15, 0.00000, 17.7204, -9.77726E-005, 17.7206, -0.000142991, 17.7206, 6.53611E-005
16, 0.00000, 17.2033, -2.93259E-005, 17.203, 8.98539E-005, 17.203, -0.000160658
17, 0.00000, 13.6306, -0.000106844, 13.6306, -6.66679E-005, 13.6306, -7.18679E-005
18, 0.00000, 3.9487, -5.24258E-006, 3.94871, -9.39437E-006, 3.94871, 1.6277E-006
19, 0.00000, 14.339, 0.000178024, 14.3398, -0.000148479, 14.3374, -6.77774E-005
20, 0.00000, 14.9997, 3.20799E-006, 15.0001, 4.75279E-005, 15.0002, -2.35458E-005
21, 0.00000, 15.6663, -7.07562E-005, 15.6665, -4.75006E-005, 15.6666, -5.74333E-005
22, 0.00000, 16.6649, 0.000196034, 16.667, 0.000253409, 16.6672, 7.89656E-005
23, 0.00000, 2.57578E-014, 9.84306E-014, -1.99768E-013, 1.46604E-013, 0, 0
24, 0.00000, -1.86795E-015, -2.47595E-013, -1.35454E-013, -3.53164E-014, 4.89373E-014, -8.62283E-014
25, 0.00000, -2.55252E-014, -1.23861E-013, -2.78507E-013, -1.81805E-013, 1.35419E-013, -3.71182E-014
26, 0.00000, -1.24936E-013, -1.73358E-013, -9.29053E-014, -6.08389E-014, 3.69535E-014, 1.35659E-013
27, 0.00000, -16.669, -2.40233E-005, -16.6664, -6.93752E-005, -16.6654, 3.14394E-005
28, 0.00000, -16.6671, -1.38195E-005, -16.667, -1.79341E-005, -16.6668, -6.525E-006
29, 0.00000, -16.6643, 6.24761E-005, -16.6648, 9.45449E-005, -16.6661, 3.25785E-005
30, 0.00000, -16.6661, 1.31974E-005, -16.6667, 1.36108E-005, -16.6667, -3.33542E-006
31, 0.00000, 2.0119, 3.97866E-008, 2.01189, 9.35312E-008, 2.01188, -4.06866E-008
32, 0.00000, 4.0294, 7.94581E-006, 4.02951, 1.46303E-005, 4.0294, 3.58301E-005
33, 0.00000, 5.80949, -1.55929E-006, 5.8096, -2.57587E-005, 5.80961, 2.78731E-005
34, 0.00000, 9.50595, 2.72534E-005, 9.50595, 1.66957E-005, 9.50594, 1.45534E-005
35, 0.00000, 14.9424, 0.000183285, 14.9424, 0.000107613, 14.9423, 0.000100422
36, 0.00000, 16.462, 7.3518E-005, 16.462, 4.20486E-005, 16.4619, 4.21764E-005
37, 0.00000, 17.489, 0.000179454, 17.4894, -7.58399E-005, 17.4896, 0.000279429
38, 0.00000, 17.4896, -0.000330322, 17.49, -0.000306034, 17.4898, -4.09381E-005
39, 0.00000, 17.7203, -0.00010642, 17.7206, -0.000155764, 17.7206, 4.98623E-005
40, 0.00000, 17.2034, 1.24409E-006, 17.203, 0.000120576, 17.203, -0.00013031
41, 0.00000, 13.6306, -9.72234E-005, 13.6306, -5.51755E-005, 13.6306, -5.82791E-005
42, 0.00000, 3.94881, 6.80256E-005, 3.94848, 1.14568E-005, 3.94893, -3.81191E-005
43, 0.00000, 14.339, 0.000166133, 14.3397, -0.000138027, 14.3375, -6.31645E-005
44, 0.00000, 14.9997, 3.38249E-006, 15.0001, 4.73984E-005, 15.0002, -2.35959E-005
45, 0.00000, 15.6663, -7.07583E-005, 15.6665, -4.74991E-005, 15.6666, -5.74327E-005
46, 0.00000, 16.6649, 0.000196034, 16.667, 0.000253409, 16.6672, 7.89656E-005
47, 0.00000, 9.97837E-014, 9.76187E-014, -8.49222E-014, 5.01496E-014, 0, 0
48, 0.00000, -1.86795E-015, -2.47595E-013, -1.35454E-013, -3.53164E-014, 4.89373E-014, -8.62283E-014
