hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 219.392, -0.000392094, 219.392, -120, 219.392, 120, 26.1933, -23.408, 26.2054, -143.372, 26.1719, 96.5983
2, 0.00000, 219.392, -0.000284039, 219.392, -120, 219.392, 120, 18.9516, -23.315, 18.9579, -143.289, 18.94, 96.6894
3, 0.00000, 219.392, -0.000249919, 219.392, -120, 219.392, 120, 16.6687, -23.2859, 16.6737, -143.263, 16.66, 96.7179
4, 0.00000, 219.392, -0.000232864, 219.392, -120, 219.392, 120, 15.5283, -23.2714, 15.5326, -143.25, 15.5208, 96.7322
5, 0.00000, 219.392, -0.000312449, 219.392, -120, 219.392, 120, 20.8539, -23.3398, 20.8617, -143.311, 20.8409, 96.6651
6, 0.00000, 219.392, -0.000483123, 219.392, -120, 219.392, 120, 32.3077, -23.4858, 32.3263, -143.442, 32.2762, 96.5221
7, 0.00000, 219.392, -0.000400483, 219.392, -120, 219.392, 120, 29.7586, -30.4206, 29.7724, -150.374, 29.7283, 89.5804
8, 0.00000, 219.392, -0.000118432, 219.392, -120, 219.392, 120, 15.2674, -51.6654, 15.2693, -171.611, 15.2524, 68.314
9, 0.00000, 219.392, -2.12268E-005, 219.392, -120, 219.392, 120, 14.1146, -71.3832, 14.1097, 168.704, 14.0976, 48.5591
10, 0.00000, 219.392, 0.000274956, 219.392, -120, 219.392, 120, 18.1139, -129.566, 18.0606, 110.485, 18.1208, -9.72043
11, 0.00000, 219.393, 0.000663907, 219.393, -119.999, 219.393, 120.001, 36.1416, -152.897, 35.983, 87.0666, 36.208, -33.0672
12, 0.00000, 219.393, 0.000784202, 219.393, -119.999, 219.393, 120.001, 42.1845, -156.291, 41.9852, 83.6514, 42.2739, -36.4627
13, 0.00000, 219.393, 0.000824033, 219.393, -119.999, 219.393, 120.001, 44.4222, -155.593, 44.198, 84.3471, 44.5209, -35.778
14, 0.00000, 219.393, 0.000897666, 219.393, -119.999, 219.393, 120.001, 47.8774, -159.809, 47.6456, 80.1117, 47.9904, -39.9775
15, 0.00000, 219.393, 0.000939407, 219.393, -119.999, 219.393, 120.001, 49.9806, -161.297, 49.7388, 78.6158, 50.1023, -41.4608
16, 0.00000, 219.393, 0.000896547, 219.393, -119.999, 219.393, 120.001, 47.7536, -160.571, 47.5263, 79.3483, 47.8649, -40.7315
17, 0.00000, 219.392, 0.000555109, 219.392, -119.999, 219.392, 120.001, 30.8822, -148.363, 30.7547, 91.6227, 30.9293, -28.5344
18, 0.00000, 219.391, -0.000386798, 219.391, -120, 219.391, 120, 32.1272, -36.2785, 32.1418, -156.217, 32.0866, 83.7161
19, 0.00000, 219.392, 0.000335949, 219.392, -120, 219.392, 120, 26.5897, -118.026, 26.4785, 122.093, 26.5782, 1.74535
20, 0.00000, 219.392, 0.000345436, 219.392, -120, 219.392, 120, 27.8244, -117.132, 27.7, 122.998, 27.8136, 2.62028
21, 0.00000, 219.391, 0.000309967, 219.391, -120, 219.391, 120, 29.0666, -110.395, 28.9392, 129.771, 29.0376, 9.35161
22, 0.00000, 219.392, 0.000534651, 219.392, -119.999, 219.392, 120.001, 33.2657, -134.418, 33.0916, 105.627, 33.3037, -14.6732
23, 0.00000, 219.391, -0.000733846, 219.391, -120.001, 219.391, 119.999, 49.2169, -23.702, 49.2591, -143.637, 49.1399, 96.3111
24, 0.00000, 219.392, -0.000506017, 219.392, -120.001, 219.392, 119.999, 33.8472, -23.5043, 33.8669, -143.458, 33.8073, 96.504
25, 0.00000, 219.392, -0.000392129, 219.392, -120, 219.392, 120, 26.1951, -23.4065, 26.2073, -143.371, 26.1723, 96.5997
26, 0.00000, 219.392, -0.000284053, 219.392, -120, 219.392, 120, 18.952, -23.3127, 18.9585, -143.286, 18.9399, 96.6915
27, 0.00000, 219.391, -0.00164918, 219.391, -120.002, 219.391, 119.998, 93.3167, -6.35192, 93.5872, -126.247, 92.85, 113.783
28, 0.00000, 219.391, -0.00163183, 219.391, -120.002, 219.391, 119.998, 92.1922, -6.11314, 92.4738, -126.01, 91.7514, 114.021
29, 0.00000, 219.391, -0.00171178, 219.391, -120.002, 219.391, 119.998, 97.3919, -7.18149, 97.694, -127.073, 96.9228, 112.951
30, 0.00000, 219.39, -0.001884, 219.39, -120.002, 219.39, 119.998, 108.708, -9.15518, 109.048, -129.037, 108.138, 110.977
31, 0.00000, 219.392, -0.000400491, 219.392, -120, 219.392, 120, 29.7593, -30.4208, 29.7727, -150.374, 29.7287, 89.5803
32, 0.00000, 219.392, -0.00011844, 219.392, -120, 219.392, 120, 15.2678, -51.6645, 15.2698, -171.61, 15.2526, 68.3144
33, 0.00000, 219.392, -2.12284E-005, 219.392, -120, 219.392, 120, 14.1148, -71.3829, 14.1099, 168.705, 14.0977, 48.559
34, 0.00000, 219.392, 0.000274956, 219.392, -120, 219.392, 120, 18.1139, -129.566, 18.0606, 110.485, 18.1208, -9.72043
35, 0.00000, 219.393, 0.000663908, 219.393, -119.999, 219.393, 120.001, 36.1417, -152.897, 35.983, 87.0666, 36.2081, -33.0672
36, 0.00000, 219.393, 0.000784202, 219.393, -119.999, 219.393, 120.001, 42.1845, -156.291, 41.9852, 83.6514, 42.2739, -36.4627
37, 0.00000, 219.393, 0.000824033, 219.393, -119.999, 219.393, 120.001, 44.4222, -155.593, 44.1982, 84.3473, 44.5211, -35.778
38, 0.00000, 219.393, 0.000897664, 219.393, -119.999, 219.393, 120.001, 47.8773, -159.809, 47.6456, 80.1118, 47.9903, -39.9775
39, 0.00000, 219.393, 0.000939406, 219.393, -119.999, 219.393, 120.001, 49.9806, -161.297, 49.7388, 78.6159, 50.1024, -41.4608
40, 0.00000, 219.393, 0.000896547, 219.393, -119.999, 219.393, 120.001, 47.7537, -160.571, 47.5262, 79.3482, 47.8648, -40.7315
41, 0.00000, 219.392, 0.000555109, 219.392, -119.999, 219.392, 120.001, 30.8822, -148.363, 30.7547, 91.6227, 30.9293, -28.5345
