hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 5.27366, 2.28295, 5.27752, 2.28073, 5.26961, 2.2805
2, 0.00000, 3.81832, 1.64559, 3.82035, 1.64441, 3.81611, 1.64429
3, 0.00000, 3.35911, 1.44566, 3.36069, 1.44475, 3.35745, 1.44469
4, 0.00000, 3.12963, 1.34596, 3.131, 1.34517, 3.12821, 1.34512
5, 0.00000, 4.20082, 1.8126, 4.20328, 1.81119, 4.19834, 1.8111
6, 0.00000, 6.50089, 2.82469, 6.50678, 2.82136, 6.49494, 2.82104
7, 0.00000, 5.63, 3.30578, 5.6353, 3.30271, 5.62432, 3.3023
8, 0.00000, 2.07757, 2.62738, 2.08033, 2.62573, 2.07459, 2.62555
9, 0.00000, 0.988566, 2.93461, 0.992706, 2.93207, 0.984418, 2.93206
10, 0.00000, -2.53132, 3.06356, -2.52118, 3.05679, -2.54057, 3.05788
11, 0.00000, -7.05854, 3.61239, -7.02983, 3.59207, -7.08222, 3.598
12, 0.00000, -8.47386, 3.7213, -8.43758, 3.69517, -8.50298, 3.70364
13, 0.00000, -8.87503, 4.02696, -8.8344, 3.99748, -8.90771, 4.00724
14, 0.00000, -9.85851, 3.62532, -9.81577, 3.59416, -9.89242, 3.60477
15, 0.00000, -10.3864, 3.51594, -10.3415, 3.48327, -10.4217, 3.4948
16, 0.00000, -9.88022, 3.48491, -9.83809, 3.45439, -9.91301, 3.4652
17, 0.00000, -5.76844, 3.55387, -5.74553, 3.53774, -5.78788, 3.54196
18, 0.00000, 5.68212, 4.17059, 5.68919, 4.16638, 5.67455, 4.16586
19, 0.00000, -2.74107, 5.14946, -2.71895, 5.13359, -2.7604, 5.13627
20, 0.00000, -2.78392, 5.43268, -2.7592, 5.41465, -2.80628, 5.41848
21, 0.00000, -2.22235, 5.97719, -2.19534, 5.95738, -2.24651, 5.96134
22, 0.00000, -5.10798, 5.21274, -5.07718, 5.18944, -5.13702, 5.19586
23, 0.00000, 9.88699, 4.34036, 9.90039, 4.33284, 9.87251, 4.3313
24, 0.00000, 6.8097, 2.96147, 6.81603, 2.95773, 6.80211, 2.957
25, 0.00000, 5.2741, 2.28297, 5.27797, 2.28072, 5.26974, 2.28041
26, 0.00000, 3.81847, 1.64547, 3.82055, 1.64427, 3.81614, 1.64414
27, 0.00000, 20.3472, 2.26442, 20.4103, 2.23368, 20.2507, 2.20553
28, 0.00000, 20.1112, 2.15335, 20.1764, 2.12358, 20.02, 2.09632
29, 0.00000, 21.1993, 2.6705, 21.2701, 2.63857, 21.1033, 2.60897
30, 0.00000, 23.5458, 3.79389, 23.6272, 3.75685, 23.4309, 3.71995
31, 0.00000, 5.63013, 3.30587, 5.63536, 3.30275, 5.6244, 3.30236
32, 0.00000, 2.07767, 2.62743, 2.08044, 2.62579, 2.07463, 2.62558
33, 0.00000, 0.988593, 2.93463, 0.992726, 2.9321, 0.984423, 2.93208
34, 0.00000, -2.53133, 3.06356, -2.52118, 3.05679, -2.54057, 3.05789
35, 0.00000, -7.05855, 3.61239, -7.02983, 3.59208, -7.08222, 3.59801
36, 0.00000, -8.47386, 3.7213, -8.43758, 3.69517, -8.50299, 3.70364
37, 0.00000, -8.87502, 4.02698, -8.83441, 3.99752, -8.90774, 4.00726
38, 0.00000, -9.85849, 3.62531, -9.81576, 3.59417, -9.89242, 3.60476
39, 0.00000, -10.3864, 3.51593, -10.3415, 3.48328, -10.4217, 3.4948
40, 0.00000, -9.88023, 3.4849, -9.83808, 3.45437, -9.913, 3.4652
41, 0.00000, -5.76844, 3.55387, -5.74553, 3.53773, -5.78788, 3.54195
42, 0.00000, 5.68068, 4.16992, 5.68778, 4.16546, 5.67434, 4.16584
43, 0.00000, -2.74106, 5.14946, -2.7189, 5.13356, -2.76045, 5.13629
44, 0.00000, -2.78392, 5.43268, -2.7592, 5.41465, -2.80628, 5.41848
45, 0.00000, -2.22235, 5.97719, -2.19534, 5.95738, -2.24651, 5.96134
46, 0.00000, -5.10798, 5.21274, -5.07718, 5.18944, -5.13702, 5.19586
47, 0.00000, 9.88699, 4.34036, 9.90039, 4.33284, 9.87251, 4.3313
48, 0.00000, 6.8097, 2.96147, 6.81603, 2.95773, 6.80211, 2.957
